Date,Open,High,Low,Close
12/29/2023,"2,950.84","2,975.03","2,950.02","2,974.93"
12/28/2023,"2,913.11","2,961.65","2,909.39","2,954.70"
12/27/2023,"2,900.15","2,917.96","2,890.17","2,914.61"
12/26/2023,"2,917.97","2,917.97","2,892.84","2,898.88"
12/25/2023,"2,909.88","2,920.63","2,903.99","2,918.81"
12/22/2023,"2,919.29","2,935.70","2,906.51","2,914.78"
12/21/2023,"2,892.02","2,924.26","2,882.02","2,918.71"
12/20/2023,"2,932.12","2,937.10","2,902.04","2,902.11"
12/19/2023,"2,928.76","2,940.50","2,914.13","2,932.39"
12/18/2023,"2,936.58","2,951.15","2,924.33","2,930.80"
12/15/2023,"2,966.30","2,976.31","2,940.03","2,942.56"
12/14/2023,"2,979.70","2,986.18","2,958.07","2,958.99"
12/13/2023,"2,997.34","2,997.34","2,968.76","2,968.76"
12/12/2023,"2,986.33","3,003.75","2,980.45","3,003.44"
12/11/2023,"2,956.29","2,995.67","2,930.42","2,991.44"
12/08/2023,"2,965.39","2,980.83","2,962.33","2,969.56"
12/07/2023,"2,965.65","2,976.02","2,949.14","2,966.21"
12/06/2023,"2,966.95","2,985.31","2,959.60","2,968.93"
12/05/2023,"3,017.01","3,017.01","2,972.30","2,972.30"
12/04/2023,"3,033.30","3,038.98","3,022.35","3,022.91"
12/01/2023,"3,027.35","3,035.76","3,010.23","3,031.64"
11/30/2023,"3,021.10","3,030.91","3,013.77","3,029.67"
11/29/2023,"3,038.46","3,038.98","3,017.66","3,021.69"
11/28/2023,"3,028.60","3,039.69","3,020.23","3,038.55"
11/27/2023,"3,038.19","3,038.36","3,015.01","3,031.70"
11/24/2023,"3,060.33","3,060.33","3,037.20","3,040.97"
11/23/2023,"3,041.68","3,062.87","3,034.30","3,061.86"
11/22/2023,"3,060.50","3,067.96","3,043.61","3,043.61"
11/21/2023,"3,074.83","3,089.77","3,063.35","3,067.93"
11/20/2023,"3,056.93","3,072.51","3,043.52","3,068.32"
11/17/2023,"3,043.62","3,055.86","3,033.75","3,054.37"
11/16/2023,"3,066.86","3,071.45","3,050.93","3,050.93"
11/15/2023,"3,077.03","3,080.13","3,064.35","3,072.83"
11/14/2023,"3,046.82","3,059.53","3,044.43","3,056.07"
11/13/2023,"3,044.03","3,048.62","3,028.17","3,046.53"
11/10/2023,"3,043.56","3,044.00","3,027.09","3,038.97"
11/09/2023,"3,047.65","3,063.47","3,045.83","3,053.28"
11/08/2023,"3,051.15","3,062.99","3,037.29","3,052.37"
11/07/2023,"3,052.92","3,064.58","3,042.47","3,057.27"
11/06/2023,"3,047.13","3,058.99","3,037.69","3,058.41"
11/03/2023,"3,012.47","3,040.98","3,012.47","3,030.80"
11/02/2023,"3,028.66","3,038.64","3,009.12","3,009.41"
11/01/2023,"3,038.18","3,038.33","3,013.93","3,023.08"
10/31/2023,"3,019.65","3,023.00","3,006.61","3,018.77"
10/30/2023,"3,009.61","3,028.26","3,002.35","3,021.55"
10/27/2023,"2,978.40","3,029.21","2,974.88","3,017.78"
10/26/2023,"2,960.10","2,990.33","2,956.01","2,988.30"
10/25/2023,"2,986.41","2,993.30","2,972.42","2,974.11"
10/24/2023,"2,944.31","2,964.76","2,929.09","2,962.24"
10/23/2023,"2,969.79","2,973.66","2,923.51","2,939.29"
10/20/2023,"2,995.36","3,006.27","2,977.17","2,983.06"
10/19/2023,"3,043.20","3,043.20","3,004.77","3,005.39"
10/18/2023,"3,076.58","3,076.58","3,057.06","3,058.71"
10/17/2023,"3,076.43","3,084.07","3,064.89","3,083.50"
10/16/2023,"3,091.06","3,091.13","3,063.69","3,073.81"
10/13/2023,"3,092.00","3,094.92","3,080.55","3,088.10"
10/12/2023,"3,101.71","3,109.99","3,092.18","3,107.90"
10/11/2023,"3,085.70","3,095.66","3,071.94","3,078.96"
10/10/2023,"3,104.37","3,109.98","3,073.19","3,075.24"
10/09/2023,"3,100.00","3,103.36","3,072.64","3,096.92"
09/28/2023,"3,117.76","3,121.84","3,105.94","3,110.48"
09/27/2023,"3,104.04","3,125.45","3,103.84","3,107.32"
09/26/2023,"3,114.02","3,120.29","3,102.27","3,102.27"
09/25/2023,"3,131.21","3,131.21","3,112.15","3,115.61"
09/22/2023,"3,084.76","3,132.56","3,078.80","3,132.43"
09/21/2023,"3,103.18","3,113.49","3,084.70","3,084.70"
09/20/2023,"3,118.67","3,122.13","3,108.16","3,108.57"
09/19/2023,"3,123.99","3,131.13","3,113.53","3,124.96"
09/18/2023,"3,110.44","3,128.70","3,098.50","3,125.93"
09/15/2023,"3,133.59","3,141.96","3,107.45","3,117.74"
09/14/2023,"3,124.85","3,135.03","3,111.86","3,126.55"
09/13/2023,"3,137.77","3,143.76","3,106.97","3,123.07"
09/12/2023,"3,140.34","3,147.51","3,134.32","3,137.06"
09/11/2023,"3,119.61","3,155.10","3,113.82","3,142.78"
09/08/2023,"3,114.23","3,126.04","3,104.67","3,116.72"
09/07/2023,"3,152.20","3,152.27","3,120.82","3,122.35"
09/06/2023,"3,147.14","3,162.15","3,136.90","3,158.08"
09/05/2023,"3,169.74","3,169.74","3,150.08","3,154.37"
09/04/2023,"3,145.94","3,177.06","3,143.38","3,177.06"
09/01/2023,"3,126.02","3,143.85","3,123.19","3,133.25"
08/31/2023,"3,134.55","3,139.98","3,113.95","3,119.88"
08/30/2023,"3,137.14","3,153.69","3,126.90","3,137.14"
08/29/2023,"3,091.94","3,145.76","3,090.44","3,135.89"
08/28/2023,"3,219.04","3,219.04","3,089.12","3,098.64"
08/25/2023,"3,068.62","3,085.05","3,053.04","3,064.07"
08/24/2023,"3,085.91","3,106.18","3,072.95","3,082.24"
08/23/2023,"3,116.27","3,116.38","3,077.61","3,078.40"
08/22/2023,"3,103.78","3,126.78","3,074.53","3,120.33"
08/21/2023,"3,125.99","3,134.96","3,092.98","3,092.98"
08/18/2023,"3,165.10","3,179.12","3,131.95","3,131.95"
08/17/2023,"3,137.35","3,167.45","3,123.25","3,163.74"
08/16/2023,"3,164.70","3,176.63","3,149.72","3,150.13"
08/15/2023,"3,180.56","3,186.23","3,147.35","3,176.18"
08/14/2023,"3,159.71","3,180.51","3,141.66","3,178.43"
08/11/2023,"3,254.48","3,254.48","3,189.25","3,189.25"
08/10/2023,"3,242.21","3,257.03","3,234.12","3,254.56"
08/09/2023,"3,251.15","3,257.08","3,240.29","3,244.49"
08/08/2023,"3,260.72","3,274.52","3,246.67","3,260.62"
08/07/2023,"3,276.78","3,276.78","3,258.54","3,268.83"
08/04/2023,"3,296.09","3,315.05","3,281.73","3,288.08"
08/03/2023,"3,254.57","3,280.86","3,247.27","3,280.46"
08/02/2023,"3,281.86","3,290.82","3,252.30","3,261.69"
08/01/2023,"3,288.76","3,305.34","3,279.57","3,290.95"
07/31/2023,"3,287.21","3,322.13","3,281.01","3,291.04"
07/28/2023,"3,206.74","3,280.28","3,200.99","3,275.93"
07/27/2023,"3,225.48","3,245.60","3,210.47","3,216.67"
07/26/2023,"3,228.09","3,229.89","3,212.88","3,223.03"
07/25/2023,"3,201.46","3,231.75","3,201.46","3,231.52"
07/24/2023,"3,157.47","3,178.73","3,151.13","3,164.16"
07/21/2023,"3,163.42","3,185.64","3,157.33","3,167.75"
07/20/2023,"3,201.91","3,209.06","3,165.67","3,169.52"
07/19/2023,"3,195.01","3,204.36","3,181.56","3,198.84"
07/18/2023,"3,206.79","3,210.25","3,190.01","3,197.82"
07/17/2023,"3,219.02","3,219.02","3,195.89","3,209.63"
07/14/2023,"3,240.97","3,248.39","3,234.00","3,237.70"
07/13/2023,"3,202.70","3,238.47","3,202.70","3,236.48"
07/12/2023,"3,220.38","3,224.33","3,193.44","3,196.13"
07/11/2023,"3,211.12","3,221.68","3,200.38","3,221.37"
07/10/2023,"3,208.73","3,216.54","3,192.66","3,203.70"
07/07/2023,"3,197.47","3,212.05","3,189.21","3,196.61"
07/06/2023,"3,215.86","3,229.48","3,199.72","3,205.57"
07/05/2023,"3,240.05","3,241.84","3,218.60","3,222.95"
07/04/2023,"3,241.23","3,246.96","3,233.99","3,245.35"
07/03/2023,"3,209.16","3,246.86","3,209.16","3,243.98"
06/30/2023,"3,178.92","3,212.99","3,177.99","3,202.06"
06/29/2023,"3,185.42","3,196.50","3,179.53","3,182.38"
06/28/2023,"3,183.49","3,192.66","3,157.12","3,189.38"
06/27/2023,"3,153.31","3,194.41","3,148.27","3,189.44"
06/26/2023,"3,177.23","3,181.08","3,144.25","3,150.62"
06/21/2023,"3,230.11","3,236.36","3,197.90","3,197.90"
06/20/2023,"3,252.54","3,252.84","3,237.79","3,240.36"
06/19/2023,"3,271.16","3,271.16","3,251.78","3,255.81"
06/16/2023,"3,256.30","3,276.55","3,255.50","3,273.33"
06/15/2023,"3,230.45","3,252.98","3,229.15","3,252.98"
06/14/2023,"3,238.12","3,248.46","3,226.77","3,228.99"
06/13/2023,"3,223.90","3,235.09","3,215.50","3,233.67"
06/12/2023,"3,225.31","3,239.44","3,210.71","3,228.83"
06/09/2023,"3,213.03","3,231.41","3,206.10","3,231.41"
06/08/2023,"3,194.83","3,225.53","3,180.54","3,213.59"
06/07/2023,"3,197.47","3,210.33","3,188.01","3,197.76"
06/06/2023,"3,228.41","3,247.35","3,189.27","3,195.34"
06/05/2023,"3,231.81","3,244.18","3,221.63","3,232.44"
06/02/2023,"3,212.45","3,233.99","3,211.74","3,230.07"
06/01/2023,"3,196.15","3,225.09","3,189.52","3,204.63"
05/31/2023,"3,214.66","3,216.36","3,190.27","3,204.56"
05/30/2023,"3,214.67","3,230.63","3,186.63","3,224.21"
05/29/2023,"3,219.76","3,230.97","3,208.96","3,221.45"
05/26/2023,"3,198.88","3,220.77","3,179.82","3,212.50"
05/25/2023,"3,197.36","3,207.02","3,168.57","3,201.26"
05/24/2023,"3,237.70","3,237.70","3,204.38","3,204.75"
05/23/2023,"3,294.79","3,298.23","3,246.24","3,246.24"
05/22/2023,"3,278.60","3,308.53","3,276.54","3,296.47"
05/19/2023,"3,288.89","3,302.34","3,268.22","3,283.54"
05/18/2023,"3,288.41","3,313.86","3,284.17","3,297.32"
05/17/2023,"3,281.97","3,298.52","3,269.89","3,284.23"
05/16/2023,"3,310.16","3,317.90","3,282.49","3,290.99"
05/15/2023,"3,269.88","3,310.74","3,235.87","3,310.74"
05/12/2023,"3,304.46","3,319.13","3,271.43","3,272.36"
05/11/2023,"3,323.66","3,333.25","3,307.29","3,309.55"
05/10/2023,"3,347.70","3,349.72","3,305.25","3,319.15"
05/09/2023,"3,402.39","3,418.95","3,356.12","3,357.67"
05/08/2023,"3,340.99","3,400.18","3,340.99","3,395.00"
05/05/2023,"3,350.65","3,364.14","3,321.19","3,334.50"
05/04/2023,"3,306.48","3,352.75","3,302.03","3,350.46"
04/28/2023,"3,283.12","3,324.88","3,283.12","3,323.27"
04/27/2023,"3,256.23","3,299.30","3,253.11","3,285.88"
04/26/2023,"3,255.22","3,277.98","3,239.99","3,264.10"
